method,value,name,dir
stack2D,0.25,Interstate 65,Northbound
stack2D,0.8571428571428571,Interstate 37,Northbound
stack2D,0.2434017595307918,Interstate 70,Eastbound
stack2D,0.13513513513513514,Interstate 70,Westbound
stack2D,0.07272727272727272,Interstate 91,Southbound
stack2D,0.2,Interstate 91,Northbound
stack2D,0.22777777777777777,Interstate 25,Southbound
stack2D,0.33519553072625696,Interstate 25,Northbound
stack2D,0.31645569620253167,Interstate 59,Southbound
stack2D,0.4375,Interstate 59,Northbound
stack2D,0.27586206896551724,Interstate 77,Southbound
stack2D,0.32456140350877194,Interstate 77,Northbound
stack2D,0.3783783783783784,Interstate 22,Eastbound
stack2D,0.2972972972972973,Interstate 22,Westbound
stack2D,0.2900763358778626,Interstate 20,Eastbound
stack2D,0.2567049808429119,Interstate 20,Westbound
stack2D,0.19310344827586207,Interstate 80,Eastbound
stack2D,0.1900647948164147,Interstate 80,Westbound
stack2D,0.29603729603729606,Interstate 40,Eastbound
stack2D,0.2171837708830549,Interstate 40,Westbound
stack2D,0.48,Interstate 88 (Illinois),Eastbound
stack2D,0.07692307692307693,Interstate 88 (Illinois),Westbound
stack2D,0.5,Interstate 17,Southbound
stack2D,0.14814814814814814,Interstate 17,Northbound
stack2D,0.4375,Interstate 96,Eastbound
stack2D,0.21875,Interstate 96,Westbound
stack2D,0.043478260869565216,Interstate 27,Northbound
stack2D,0.0,Interstate 105 (Oregon),Eastbound
stack2D,0.0,Interstate 105 (Oregon),Westbound
stack2D,0.5333333333333333,Interstate 335 (Kansas),Eastbound
stack2D,0.14814814814814814,Interstate 335 (Kansas),Westbound
stack2D,0.1976284584980237,Interstate 15,Southbound
stack2D,0.19391634980988592,Interstate 15,Northbound
stack2D,0.34297520661157027,Interstate 5,Southbound
stack2D,0.18376068376068377,Interstate 5,Northbound
stack2D,0.19230769230769232,Interstate 78,Eastbound
stack2D,0.08,Interstate 78,Westbound
stack2D,0.31313131313131315,Interstate 44,Eastbound
stack2D,0.30612244897959184,Interstate 44,Westbound
stack2D,0.4666666666666667,Interstate 29,Southbound
stack2D,0.26956521739130435,Interstate 29,Northbound
stack2D,0.4794520547945205,Interstate 74,Eastbound
stack2D,0.37142857142857144,Interstate 74,Westbound
stack2D,0.09090909090909091,Interstate 495 (Massachusetts),Southbound
stack2D,0.22727272727272727,Interstate 495 (Massachusetts),Northbound
stack2D,0.29444444444444445,Interstate 64,Eastbound
stack2D,0.2640449438202247,Interstate 64,Westbound
stack2D,0.13636363636363635,Interstate 88 (New York),Eastbound
stack2D,0.17886178861788618,Interstate 94,Eastbound
stack2D,0.23529411764705882,Interstate 94,Westbound
stack2D,0.23529411764705882,Interstate 49 (Lousiana-South Segment,Southbound
stack2D,0.5294117647058824,Interstate 49 (Lousiana-South Segment,Northbound
stack2D,0.23076923076923078,Interstate 49 (Missouri),Southbound
stack2D,0.0967741935483871,Interstate 49 (Missouri),Northbound
stack2D,0.34375,Interstate 69,Southbound
stack2D,0.3548387096774194,Interstate 69,Northbound
stack2D,0.08733624454148471,Interstate 75,Southbound
stack2D,0.24705882352941178,Interstate 75,Northbound
stack2D,0.1736842105263158,Interstate 35,Southbound
stack2D,0.15979381443298968,Interstate 35,Northbound
stack2D,0.25,Interstate 93,Southbound
stack2D,0.4,Interstate 93,Northbound
stack2D,0.2222222222222222,Interstate 87,Southbound
stack2D,0.09375,Interstate 87,Northbound
stack2D,0.4032258064516129,Interstate 71,Southbound
stack2D,0.43548387096774194,Interstate 71,Northbound
stack2D,0.28888888888888886,Interstate 84 (Pennsylvania-Massachusetts),Eastbound
stack2D,0.32558139534883723,Interstate 84 (Pennsylvania-Massachusetts),Westbound
stack2D,0.5087719298245614,Interstate 24,Eastbound
stack2D,0.3157894736842105,Interstate 24,Westbound
stack2D,0.25925925925925924,Interstate 16,Eastbound
stack2D,0.2962962962962963,Interstate 16,Westbound
stack2D,0.42857142857142855,Interstate 72,Eastbound
stack2D,0.4857142857142857,Interstate 72,Westbound
stack2D,0.18840579710144928,Interstate 79,Southbound
stack2D,0.21739130434782608,Interstate 79,Northbound
stack2D,0.4074074074074074,Interstate 41,Southbound
stack2D,0.3870967741935484,Interstate 41,Northbound
stack3D,0.09027777777777778,Interstate 55,Southbound
stack3D,0.14893617021276595,Interstate 55,Northbound
stack3D,0.13902439024390245,Interstate 90,Eastbound
stack3D,0.14392059553349876,Interstate 90,Westbound
stack3D,0.1092436974789916,Interstate 85,Eastbound
stack3D,0.20491803278688525,Interstate 85,Westbound
stack3D,0.03278688524590164,Interstate 57,Southbound
stack3D,0.09836065573770492,Interstate 57,Northbound
stack3D,0.046153846153846156,Interstate 26,Southbound
stack3D,0.171875,Interstate 26,Northbound
stack3D,0.2222222222222222,Interstate 82,Southbound
stack3D,0.18518518518518517,Interstate 82,Northbound
stack3D,0.05063291139240506,Interstate 76 (Ohio-New Jersey),Eastbound
stack3D,0.08641975308641975,Interstate 76 (Ohio-New Jersey),Westbound
stack3D,0.11320754716981132,Interstate 39,Southbound
stack3D,0.16326530612244897,Interstate 39,Northbound
stack3D,0.047619047619047616,Interstate 86 (Pennsylvania-New York),Eastbound
stack3D,0.11904761904761904,Interstate 86 (Pennsylvania-New York),Westbound
stack3D,0.3401360544217687,Interstate 84 (Oregon-Utah),Eastbound
stack3D,0.2702702702702703,Interstate 84 (Oregon-Utah),Westbound
stack3D,0.32,Interstate 76 (Colorado-Nebraska),Westbound
stack3D,0.2,Interstate 476 (Pennsylvania),Southbound
stack3D,0.08,Interstate 476 (Pennsylvania),Northbound
stack3D,0.027777777777777776,Interstate 43,Southbound
stack3D,0.12903225806451613,Interstate 43,Northbound
stack3D,0.16748768472906403,Interstate 10,Eastbound
stack3D,0.162291169451074,Interstate 10,Westbound
stack3D,0.15,Interstate 81,Southbound
stack3D,0.24050632911392406,Interstate 81,Northbound
stack3D,0.36538461538461536,Interstate 8,Eastbound
stack3D,0.13725490196078433,Interstate 8,Westbound
stack3D,0.1320754716981132,Interstate 95 (Southern Segment),Southbound
stack3D,0.1380952380952381,Interstate 95 (Southern Segment),Northbound
stack3D,0.17391304347826086,Interstate 95 (Northern Segment),Southbound
stack3D,0.211864406779661,Interstate 95 (Northern Segment),Northbound
stack3D,0.08108108108108109,Interstate 89,Southbound
stack3D,0.24324324324324326,Interstate 89,Northbound
stack3D,0.13636363636363635,Interstate 68,Eastbound
stack3D,0.4090909090909091,Interstate 68,Westbound
stack3D,0.1891891891891892,Interstate 45,Southbound
stack3D,0.13333333333333333,Interstate 45,Northbound
stack3D,0.12280701754385964,Interstate 30,Eastbound
stack3D,0.11764705882352941,Interstate 30,Westbound
stack3D,0.17197452229299362,Interstate 65,Southbound
stack3D,0.11538461538461539,Interstate 65,Northbound
stack3D,0.5,Interstate 37,Northbound
stack3D,0.12023460410557185,Interstate 70,Eastbound
stack3D,0.0990990990990991,Interstate 70,Westbound
stack3D,0.16363636363636364,Interstate 91,Southbound
stack3D,0.14545454545454545,Interstate 91,Northbound
stack3D,0.2611111111111111,Interstate 25,Southbound
stack3D,0.2905027932960894,Interstate 25,Northbound
stack3D,0.10126582278481013,Interstate 59,Southbound
stack3D,0.2375,Interstate 59,Northbound
stack3D,0.16379310344827586,Interstate 77,Southbound
stack3D,0.21052631578947367,Interstate 77,Northbound
stack3D,0.08108108108108109,Interstate 22,Eastbound
stack3D,0.1891891891891892,Interstate 22,Westbound
stack3D,0.18702290076335878,Interstate 20,Eastbound
stack3D,0.14559386973180077,Interstate 20,Westbound
stack3D,0.12873563218390804,Interstate 80,Eastbound
stack3D,0.13822894168466524,Interstate 80,Westbound
stack3D,0.17249417249417248,Interstate 40,Eastbound
